id,acquired,satellite_id,sun_elevation,pixel_resolution,cloud_cover,anomalous_pixels,sun_azimuth,view_angle,usable_data,item_type,gsd
20111102_184520_1354107_RapidEye-1,2011-11-02T18:45:20Z,RapidEye-1,42.71195,5,0.03,0.63,178.06135,16.40584,0.37,REOrthoTile,6.5
20111104_184353_1354107_RapidEye-3,2011-11-04T18:43:53Z,RapidEye-3,42.07822,5,0,0,177.61716,16.83377,1,REOrthoTile,6.5
20111106_184633_1354107_RapidEye-5,2011-11-06T18:46:33Z,RapidEye-5,41.49064,5,0.08,0.08,178.48128,13.32804,0.92,REOrthoTile,6.5
20111109_184831_1354107_RapidEye-3,2011-11-09T18:48:31Z,RapidEye-3,40.62315,5,0.02,0.63,179.06994,3.50918,0.37,REOrthoTile,6.5
20111115_185323_1354107_RapidEye-4,2011-11-15T18:53:23Z,RapidEye-4,39.00837,5,0.07,0.07,180.34778,-3.07937,0.93,REOrthoTile,6.5
20111126_184740_1354107_RapidEye-1,2011-11-26T18:47:40Z,RapidEye-1,36.54026,5,0.05,0.27,177.89033,13.14494,0.73,REOrthoTile,6.5
20111128_184702_1354107_RapidEye-3,2011-11-28T18:47:02Z,RapidEye-3,36.16711,5,0,0,177.5326,10.23654,1,REOrthoTile,6.5
20111123_190436_1354107_RapidEye-2,2011-11-23T19:04:36Z,RapidEye-2,37.09852,5,0.04,0.23,183.10048,-16.26574,0.77,REOrthoTile,6.5
20120116_185358_1354107_RapidEye-4,2012-01-16T18:53:58Z,RapidEye-4,36.31431,5,0,0,173.22964,-6.34132,1,REOrthoTile,6.5
20111226_185742_1354107_RapidEye-2,2011-12-26T18:57:42Z,RapidEye-2,34.13165,5,0.52,0.52,177.08953,-6.15874,0.48,REOrthoTile,6.5
20120124_184319_1354107_RapidEye-3,2012-01-24T18:43:19Z,RapidEye-3,37.60531,5,0.1,0.1,169.14821,16.83891,0.9,REOrthoTile,6.5
20120127_184900_1354107_RapidEye-1,2012-01-27T18:49:00Z,RapidEye-1,38.5317,5,0.17,0.28,170.48396,16.37599,0.72,REOrthoTile,6.5
20120202_185518_1354107_RapidEye-2,2012-02-02T18:55:18Z,RapidEye-2,40.3343,5,0,0.52,171.82385,-2.89179,0.48,REOrthoTile,6.5
20120215_184830_1354107_RapidEye-1,2012-02-15T18:48:30Z,RapidEye-1,44.16213,5,0,0,168.65004,16.39637,1,REOrthoTile,6.5
20120228_185743_1354107_RapidEye-4,2012-02-28T18:57:43Z,RapidEye-4,49.21607,5,0,0,171.44702,-13.06622,1,REOrthoTile,6.5
20120311_185332_1354107_RapidEye-2,2012-03-11T18:53:32Z,RapidEye-2,53.76656,5,0.01,0.02,169.85458,6.9072,0.98,REOrthoTile,6.5
20120313_185153_1354107_RapidEye-4,2012-03-13T18:51:53Z,RapidEye-4,54.50243,5,0.06,0.06,169.18324,0.24325,0.94,REOrthoTile,6.5
20120315_185708_1354107_RapidEye-1,2012-03-15T18:57:08Z,RapidEye-1,55.49135,5,0,0,171.49075,-3.1206,1,REOrthoTile,6.5
20120324_190347_1354107_RapidEye-5,2012-03-24T19:03:47Z,RapidEye-5,59.25957,5,0.01,0.01,175.14322,-19.60726,0.99,REOrthoTile,6.5
20120403_185538_1354107_RapidEye-1,2012-04-03T18:55:38Z,RapidEye-1,62.99629,5,0.01,0.73,171.70424,-3.17376,0.27,REOrthoTile,6.5
20120406_185512_1354107_RapidEye-4,2012-04-06T18:55:12Z,RapidEye-4,64.13698,5,0.22,0.22,171.62531,-6.42287,0.78,REOrthoTile,6.5
20120420_184849_1354107_RapidEye-4,2012-04-20T18:48:49Z,RapidEye-4,69.00024,5,0.04,0.04,167.89952,6.72251,0.96,REOrthoTile,6.5
20120419_184828_1354107_RapidEye-3,2012-04-19T18:48:28Z,RapidEye-3,68.64029,5,0,0,167.70835,6.96805,1,REOrthoTile,6.5
20120516_185655_1354107_RapidEye-1,2012-05-16T18:56:55Z,RapidEye-1,76.76984,5,0.23,0.23,172.65266,0.16144,0.77,REOrthoTile,6.5
20120523_190103_1354107_RapidEye-3,2012-05-23T19:01:03Z,RapidEye-3,78.2817,5,0,0,176.07784,-16.28207,1,REOrthoTile,6.5
20120601_185040_1354107_RapidEye-3,2012-06-01T18:50:40Z,RapidEye-3,79.20616,5,0,0,161.22737,3.59892,1,REOrthoTile,6.5
20120629_190148_1354107_RapidEye-2,2012-06-29T19:01:48Z,RapidEye-2,80.4816,5,0,0,166.73409,-13.07294,1,REOrthoTile,6.5
20120729_184800_1354107_RapidEye-4,2012-07-29T18:48:00Z,RapidEye-4,74.87229,5,0.11,0.11,155.60653,6.7425,0.89,REOrthoTile,6.5
20120730_185052_1354107_RapidEye-5,2012-07-30T18:50:52Z,RapidEye-5,74.88286,5,0.11,0.33,158.4155,6.74126,0.67,REOrthoTile,6.5
20120820_185246_1354107_RapidEye-2,2012-08-20T18:52:46Z,RapidEye-2,69.24349,5,0,0,167.43322,6.83538,1,REOrthoTile,6.5
20120930_184946_1354107_RapidEye-5,2012-09-30T18:49:46Z,RapidEye-5,54.32246,5,0,0,176.73393,6.78742,1,REOrthoTile,6.5
20121026_185813_1354107_RapidEye-2,2012-10-26T18:58:13Z,RapidEye-2,44.74502,5,0,0.01,182.28524,-6.26774,0.99,REOrthoTile,6.5
20121116_185449_1354107_RapidEye-4,2012-11-16T18:54:49Z,RapidEye-4,38.56826,5,0,0,180.68193,-6.3688,1,REOrthoTile,6.5
20121202_185357_1354107_RapidEye-1,2012-12-02T18:53:57Z,RapidEye-1,35.44619,5,0,0,179.03646,3.48898,1,REOrthoTile,6.5
20121123_184600_1354107_RapidEye-2,2012-11-23T18:46:00Z,RapidEye-2,36.96975,5,0,0,177.58185,19.78888,1,REOrthoTile,6.5
20121211_190055_1354107_RapidEye-5,2012-12-11T19:00:55Z,RapidEye-5,34.4721,5,0,0,179.91125,-17.99508,1,REOrthoTile,6.5
20121218_184602_1354107_RapidEye-3,2012-12-18T18:46:02Z,RapidEye-3,33.95948,5,0,0.12,174.86664,10.23929,0.88,REOrthoTile,6.5
20130107_184430_1354107_RapidEye-4,2013-01-07T18:44:30Z,RapidEye-4,34.81256,5,0.34,0.34,171.64008,13.49685,0.66,REOrthoTile,6.5
20130125_190457_1354107_RapidEye-2,2013-01-25T19:04:57Z,RapidEye-2,38.64026,5,0,0,175.41338,-15.62628,1,REOrthoTile,6.5
20130201_184953_1354107_RapidEye-5,2013-02-01T18:49:53Z,RapidEye-5,40.08582,5,0,0,170.16326,6.67277,1,REOrthoTile,6.5
20130130_184635_1354107_RapidEye-3,2013-01-30T18:46:35Z,RapidEye-3,39.41267,5,0,0,169.35218,10.19067,1,REOrthoTile,6.5
20130204_185143_1354107_RapidEye-3,2013-02-04T18:51:43Z,RapidEye-3,41.01615,5,0,0.67,170.46228,-3.06641,0.33,REOrthoTile,6.5
20130218_184649_1354107_RapidEye-3,2013-02-18T18:46:49Z,RapidEye-3,45.39332,5,0.01,0.66,167.84095,6.86339,0.34,REOrthoTile,6.5
20130316_185532_1354107_RapidEye-5,2013-03-16T18:55:32Z,RapidEye-5,55.74326,5,0,0.16,170.81862,-9.65932,0.84,REOrthoTile,6.5
20130409_190006_1354107_RapidEye-5,2013-04-09T19:00:06Z,RapidEye-5,65.30533,5,0,0,174.6538,-16.24936,1,REOrthoTile,6.5
20130415_184940_1354107_RapidEye-2,2013-04-15T18:49:40Z,RapidEye-2,67.19228,5,0.01,0.13,168.55637,10.18895,0.87,REOrthoTile,6.5
20130417_184559_1354107_RapidEye-4,2013-04-17T18:45:59Z,RapidEye-4,67.73542,5,0,0,166.17904,10.12941,1,REOrthoTile,6.5
20130506_184453_1354107_RapidEye-4,2013-05-06T18:44:53Z,RapidEye-4,73.68446,5,0.31,0.31,163.28915,13.60757,0.69,REOrthoTile,6.5
20130509_185329_1354107_RapidEye-2,2013-05-09T18:53:29Z,RapidEye-2,74.90416,5,0.22,0.22,170.25323,3.53278,0.78,REOrthoTile,6.5
20130514_185811_1354107_RapidEye-2,2013-05-14T18:58:11Z,RapidEye-2,76.28512,5,0,0.1,174.18945,-6.27549,0.9,REOrthoTile,6.5
20130519_190251_1354107_RapidEye-2,2013-05-19T19:02:51Z,RapidEye-2,77.46408,5,0,0,178.59251,-13.0914,1,REOrthoTile,6.5
20130603_185246_1354107_RapidEye-3,2013-06-03T18:52:46Z,RapidEye-3,79.53166,5,0,0,163.06527,-3.18214,1,REOrthoTile,6.5
20130608_185718_1354107_RapidEye-3,2013-06-08T18:57:18Z,RapidEye-3,80.22337,5,0.01,0.72,167.01343,-16.52586,0.28,REOrthoTile,6.5
20130709_185217_1354107_RapidEye-1,2013-07-09T18:52:17Z,RapidEye-1,78.82695,5,0.03,0.09,154.52329,6.63905,0.91,REOrthoTile,6.5
20130729_185346_1354107_RapidEye-2,2013-07-29T18:53:46Z,RapidEye-2,75.38014,5,0,0,160.55036,3.51654,1,REOrthoTile,6.5
20131018_185345_1354107_RapidEye-2,2013-10-18T18:53:45Z,RapidEye-2,47.66345,5,0,0.01,180.37714,0.3559,0.99,REOrthoTile,6.5
20170802_182056_1354107_RapidEye-1,2017-08-02T18:20:56Z,RapidEye-1,70.91118,5,0.18,0.9,138.08846,-9.82999,0.1,REOrthoTile,6.5
20131102_184325_1354107_RapidEye-3,2013-11-02T18:43:25Z,RapidEye-3,42.53483,5,0,0,177.44183,13.52277,1,REOrthoTile,6.5
20131112_185311_1354107_RapidEye-3,2013-11-12T18:53:11Z,RapidEye-3,39.65612,5,0.01,0.08,180.40724,-9.78703,0.92,REOrthoTile,6.5
20131204_185908_1354107_RapidEye-1,2013-12-04T18:59:08Z,RapidEye-1,35.21328,5,0,0.44,180.30723,-12.9495,0.56,REOrthoTile,6.5
20131215_184612_1354107_RapidEye-3,2013-12-15T18:46:12Z,RapidEye-3,34.10004,5,0.01,0.37,175.33669,3.5045,0.63,REOrthoTile,6.5
20131217_184922_1354107_RapidEye-5,2013-12-17T18:49:22Z,RapidEye-5,34.05804,5,0,0,175.94768,2.602,1,REOrthoTile,6.5
20131218_185302_1354107_RapidEye-1,2013-12-18T18:53:02Z,RapidEye-1,34.07338,5,0,0.01,176.82833,3.27277,0.99,REOrthoTile,6.5
20170520_181841_1354107_RapidEye-3,2017-05-20T18:18:41Z,RapidEye-3,74.01895,5,0,0,137.67166,-9.81988,1,REOrthoTile,6.5
20150117_184609_1354107_RapidEye-1,2015-01-17T18:46:09Z,RapidEye-1,36.3176,5,0,0,170.81646,3.41496,1,REOrthoTile,6.5
20170421_181024_1354107_RapidEye-3,2017-04-21T18:10:24Z,RapidEye-3,65.94833,5,0.01,0.03,144.59794,6.74197,0.97,REOrthoTile,6.5
20170312_181623_1354107_RapidEye-1,2017-03-12T18:16:23Z,RapidEye-1,51.69112,5,0,0.54,154.97016,13.20946,0.46,REOrthoTile,6.5
20170308_183147_1354107_RapidEye-1,2017-03-08T18:31:47Z,RapidEye-1,51.33504,5,0,0,161.23021,-12.8793,1,REOrthoTile,6.5
20170225_181801_1354107_RapidEye-5,2017-02-25T18:18:01Z,RapidEye-5,46.10971,5,0,0.48,157.37888,0.20458,0.52,REOrthoTile,6.5
20170205_181501_1354107_RapidEye-4,2017-02-05T18:15:01Z,RapidEye-4,39.27236,5,0,0.24,159.09882,0.10617,0.76,REOrthoTile,6.5
